id,districtId,name
1248,160,Tulamben
1249,145,Tulikup
1250,144,Tumbakbayuh
1251,185,Tumbu
1252,183,Tunjuk
1253,177,Tunjung
1254,140,Tusan
1255,175,Tuwed
1256,191,Ubud
1257,188,Ubung
1258,188,Ubung Kaja
1259,156,Ulakan
1260,163,Ularan
1261,142,Ulian
1262,163,Umeanyar
1263,178,Umejero
1264,161,Undisan
1265,179,Ungasan
1266,163,Unggahan
1267,155,Wanagiri
1268,151,Wanagiri
1269,155,Wanagiri Kauh
1270,183,Wanasari
1271,175,Warnasari
1272,144,Werdi Bhuwana
1273,194,Wisma Kerta
1274,158,Wongaya Gede
